search_term,extractor_key,channel_id,channel,uploader_url,id,url,title,description,duration,view_count
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,RKJPYblHT-U,https://www.youtube.com/watch?v=RKJPYblHT-U,MILEI DESBURRÓ A TODOS LOS POLÍTICOS DEL PAÍS,,2021.0,300815
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,xwiTlcOjQx8,https://www.youtube.com/watch?v=xwiTlcOjQx8,"Javier Milei la rompe toda en A Dos Bolches, TN- 26/04/23",,1634.0,175269
"""javier milei""",YoutubeSearchURL,UCba3hpU7EFBSk817y9qZkiA,LA NACION,https://www.youtube.com/@lanacion,aoHde_soO6U,https://www.youtube.com/watch?v=aoHde_soO6U,Javier Milei y su propuesta para reformar el sistema de salud,,2461.0,723399
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,mZGfM2v7VZ4,https://www.youtube.com/watch?v=mZGfM2v7VZ4,MILEI DESTROZÓ A PERIODISTA OPERADOR Y MENTIROSO,,1460.0,203629
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,eAmKvEMKVBQ,https://www.youtube.com/watch?v=eAmKvEMKVBQ,MILEI LE RESPONDIÓ A LA FEMINAZ1 DE LALI ESPÓSITO,,2765.0,677382
"""javier milei""",YoutubeSearchURL,UCrtOL8bJsh-csozGS2aV77Q,Estadão,https://www.youtube.com/@estadao,7RrApXsed-E,https://www.youtube.com/watch?v=7RrApXsed-E,Javier Milei: a ascensão eleitoral do ‘Bolsonaro argentino’,,1671.0,24562
"""javier milei""",YoutubeSearchURL,UCFgk2Q2mVO1BklRQhSv6p0w,C5N,https://www.youtube.com/@c5n,ICEd0PhrIVE,https://www.youtube.com/watch?v=ICEd0PhrIVE,MOVILIZACIÓN del CONICET contra la PROPUESTA de PRIVATIZACIÓN de JAVIER MILEI,,1272.0,5850
"""javier milei""",YoutubeSearchURL,UCYvINPByAdCcpA0sWrF3I_w,Radio Mitre,https://www.youtube.com/@Radiomitre,7VK_qG6lG80,https://www.youtube.com/watch?v=7VK_qG6lG80,Se conocieron más datos del romance entre Fátima Flórez y Javier Milei: la columna de Calabró,,1785.0,13897
"""javier milei""",YoutubeSearchURL,UCWSfXECGo1qK_H7SXRaUSMg,GELATINA,https://www.youtube.com/@SomosGelatina,Xsc2SCvA5jU,https://www.youtube.com/watch?v=Xsc2SCvA5jU,"""EL LOCO"" LA BIOGRAFÍA DE JAVIER MILEI | JUAN LUIS GONZÁLEZ EN ELIJO CREER",,1436.0,14810
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,A9YyjJ7rZc0,https://www.youtube.com/watch?v=A9YyjJ7rZc0,MILEI FURIOSO CON LA TRAIDORA DE VIVIANA CANOSA,,2506.0,941555
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,_KKjM_Y8b8c,https://www.youtube.com/watch?v=_KKjM_Y8b8c,"""No me trates mal"" Milei se cruza con periodista de A Dos Sobres- 16/08/23",,2059.0,199277
"""javier milei""",YoutubeSearchURL,UCba3hpU7EFBSk817y9qZkiA,LA NACION,https://www.youtube.com/@lanacion,scvzX2SfjPo,https://www.youtube.com/watch?v=scvzX2SfjPo,"Feinmann con Novaresio: ""Milei queda en la puerta de ganar en primera vuelta""",,3472.0,178037
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,_rDY6YowMY0,https://www.youtube.com/watch?v=_rDY6YowMY0,MILEI LE CONTESTÓ A VIVIANA CANOSA TRAS FILTRAR SUS CHATS,,1497.0,618985
"""javier milei""",YoutubeSearchURL,UCR9120YBAqMfntqgRTKmkjQ,A24com,https://www.youtube.com/@A24com,-FeSfqRIKxU,https://www.youtube.com/watch?v=-FeSfqRIKxU,"Milei mano a mano con Esteban Trebucq (08/08/2023): ""Voy a hacer volar al statu quo desde adentro""",,2194.0,576213
